,Commodity Group,Commodity,Op.,IMO,Vessel,Port,Arrived at Port,Sailed from Port,Berth,Tons,Coord.,Destination / Origin,Time at Port,Time at Berth,Shipper
30919,Grains,Maize,load,9370408,GRACEFUL GERTRUDE,San Lorenzo - Argentina,2022-11-30 07:42:00,2022-12-07 18:15:00,Dempa,20921.0,Costa Atlantica,Peru,7.44,1.81,Bunge
30920,Grains,Maize,load,9883364,OCEAN AMBITION,San Lorenzo - Argentina,2022-11-29 18:06:00,2022-12-04 23:30:00,Quebracho,8512.505,Cargill,Colombia,5.23,0.55,Cargill
30921,Grains,Maize Par,load,9478963,MINDANAO,San Lorenzo - Argentina,2022-12-03 20:40:00,2022-12-06 16:20:00,LDC Timbues,18928.635,Graneles Chile,Chile,2.82,1.88,Mercantil Comercial SA
30922,Grains,Maize Par,load,9478963,MINDANAO,San Lorenzo - Argentina,2022-12-03 20:40:00,2022-12-06 16:20:00,LDC Timbues,19511.365,Graneles Chile,Chile,2.82,1.88,Dreyfus Paraguay
30923,Grains,Maize,load,9682904,MANTICORE,San Lorenzo - Argentina,2022-11-29 12:00:00,2022-12-06 22:30:00,ACA Timbues,26345.32,Crossland,Malaysia,7.44,1.58,ACA
30924,Grains,Maize,load,9880013,ULTRA BOSQUE,San Lorenzo - Argentina,2022-12-01 08:00:00,2022-12-07 02:20:00,ACA,33000.0,Luzar Trading,Colombia,5.76,2.52,ACA
30925,Grains,Wheat,load,9500584,ANIMA,San Lorenzo - Argentina,2022-12-06 00:30:00,2022-12-07 14:40:00,Quebracho,32996.32,Graneles Chile,Chile,1.59,1.31,Cargill
30926,Grains,Maize,load,9624055,ALKYONI,San Lorenzo - Argentina,2022-12-04 06:12:00,2022-12-07 15:36:00,Cofco Int. PGSM South,32139.0,Seaboard,Peru,3.39,1.97,Cofco Int. Arg.
30927,Grains,Wheat,load,9624055,ALKYONI,San Lorenzo - Argentina,2022-12-04 06:12:00,2022-12-07 15:36:00,Cofco Int. PGSM South,5600.0,Seaboard,Peru,3.39,1.97,Cofco Int. Arg.
30928,Grains,Maize,load,9370408,GRACEFUL GERTRUDE,San Lorenzo - Argentina,2022-11-30 07:42:00,2022-12-07 18:15:00,Pampa,872.0,Costa Atlantica,Peru,7.44,2.72,Bunge
30929,Grains,Wheat,load,9727510,KARLINO,San Lorenzo - Argentina,2022-12-06 20:10:00,2022-12-08 05:00:00,Renova-North,10000.0,Viterra,Brazil,1.37,1.25,Bunge
30930,Grains,Wheat,load,9727510,KARLINO,San Lorenzo - Argentina,2022-12-06 20:10:00,2022-12-08 05:00:00,Renova-North,20900.0,Viterra,Brazil,1.37,1.25,Viterra Argentina S.A
30931,Grains,Wheat,load,9658898,FEDERAL TWEED,San Lorenzo - Argentina,2022-12-05 23:24:00,2022-12-09 01:25:00,Cofco Int. Timbues,33000.0,Seaboard,Colombia,3.08,1.17,Cofco Int. Arg.
30932,Grains,Maize Par,load,9498298,BERNIS,San Lorenzo - Argentina,2022-12-04 08:25:00,2022-12-09 15:00:00,Terminal 6-South,31840.0,Seaboard,Peru,5.27,2.75,CoPaGra
